x,y,layer1,layer2,voltage1,voltage2,current
5963.41,2076.94,TOP_LAYER,LAYER_1,11.9068,11.9068,-0.206477
5963.41,2076.94,LAYER_1,LAYER_2,11.9068,11.907,-0.206477
5963.41,2076.94,LAYER_2,BOTTOM_LAYER,11.907,11.907,-0.206477
5971.29,2143.87,TOP_LAYER,LAYER_1,11.9075,11.9075,0.17388
5971.29,2143.87,LAYER_1,LAYER_2,11.9075,11.9073,0.17388
5971.29,2143.87,LAYER_2,BOTTOM_LAYER,11.9073,11.9073,0.17388
5972.27,2099.58,TOP_LAYER,LAYER_1,11.9072,11.9072,0.0862766
5972.27,2099.58,LAYER_1,LAYER_2,11.9072,11.9071,0.0862766
5972.27,2099.58,LAYER_2,BOTTOM_LAYER,11.9071,11.9071,0.0862766
5983.1,2121.23,TOP_LAYER,LAYER_1,11.907,11.907,-0.0536792
5983.1,2121.23,LAYER_1,LAYER_2,11.907,11.9071,-0.0536792
5983.1,2121.23,LAYER_2,BOTTOM_LAYER,11.9071,11.9071,-0.0536792
5985.07,2374.18,TOP_LAYER,LAYER_1,0.00129554,0.00129538,0.00105444
5985.07,2374.18,LAYER_1,LAYER_2,0.00129538,0.00129452,0.00105444
5985.07,2374.18,LAYER_2,BOTTOM_LAYER,0.00129452,0.00129452,-0
5990.97,1131.07,TOP_LAYER,LAYER_1,0.00147562,0.00146941,0.041719
5990.97,1131.07,LAYER_1,LAYER_2,0.00146941,0.0014354,0.041719
5990.97,1131.07,LAYER_2,BOTTOM_LAYER,0.0014354,0.0014354,-0
5990.97,1272.81,TOP_LAYER,LAYER_1,0.00133837,0.00133536,0.0201905
5990.97,1272.81,LAYER_1,LAYER_2,0.00133536,0.0013189,0.0201905
5990.97,1272.81,LAYER_2,BOTTOM_LAYER,0.0013189,0.0013189,-0
5990.97,1414.54,TOP_LAYER,LAYER_1,0.00127558,0.00127668,-0.00742462
5990.97,1414.54,LAYER_1,LAYER_2,0.00127668,0.00128273,-0.00742462
5990.97,1414.54,LAYER_2,BOTTOM_LAYER,0.00128273,0.00128273,-0
5990.97,1556.27,TOP_LAYER,LAYER_1,0.0012651,0.00126574,-0.00425591
5990.97,1556.27,LAYER_1,LAYER_2,0.00126574,0.00126921,-0.00425591
5990.97,1556.27,LAYER_2,BOTTOM_LAYER,0.00126921,0.00126921,-0
5990.97,1698,TOP_LAYER,LAYER_1,0.00125798,0.00125907,-0.00738451
5990.97,1698,LAYER_1,LAYER_2,0.00125907,0.00126509,-0.00738451
5990.97,1698,LAYER_2,BOTTOM_LAYER,0.00126509,0.00126509,-0
6009.67,2258.04,TOP_LAYER,LAYER_1,11.9073,11.9073,-2.43271e-05
6009.67,2258.04,LAYER_1,LAYER_2,11.9073,11.9073,-2.43271e-05
6009.67,2258.04,LAYER_2,BOTTOM_LAYER,11.9073,11.9073,-2.43271e-05
6021.48,2277.73,TOP_LAYER,LAYER_1,11.9073,11.9073,1.14096e-07
6021.48,2277.73,LAYER_1,LAYER_2,11.9073,11.9073,1.14089e-07
6021.48,2277.73,LAYER_2,BOTTOM_LAYER,11.9073,11.9073,1.14096e-07
6022.47,2240.33,TOP_LAYER,LAYER_1,11.9073,11.9073,2.4213e-05
6022.47,2240.33,LAYER_1,LAYER_2,11.9073,11.9073,2.4213e-05
6022.47,2240.33,LAYER_2,BOTTOM_LAYER,11.9073,11.9073,2.4213e-05
6026.4,1060.21,TOP_LAYER,LAYER_1,0.00116436,0.00117002,-0.038064
6026.4,1060.21,LAYER_1,LAYER_2,0.00117002,0.00120105,-0.038064
6026.4,1060.21,LAYER_2,BOTTOM_LAYER,0.00120105,0.00120105,-0
